dim,gamma,prune_ratio,recall
2,random,0.986,1.000
3,random,0.985,1.000
4,random,0.984,1.000
8,random,0.936,1.000
12,random,0.721,1.000
16,random,0.336,1.000
20,random,0.096,1.000
24,random,0.018,1.000
28,random,0.003,1.000
32,random,0.001,1.000
64,random,0.000,1.000
96,random,0.000,1.000
128,random,0.000,1.000

2,0.0,0.882,1.000
4,0.1,0.943,1.000
8,0.1,0.928,1.000
12,0.2,0.927,1.000
16,0.3,0.926,1.000
20,0.4,0.935,1.000
24,0.4,0.928,1.000
28,0.5,0.939,1.000
32,0.6,0.947,1.000
64,0.7,0.948,1.000
96,0.7,0.933,1.000
128,0.8,0.950,1.000
