enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.9,300,100,0.9043,0.409165620803833,2443.998100415753,1000
True,0.9,80,120,0.9064,0.4258148670196533,2348.438435226935,1000
True,0.9,80,140,0.9087,0.459014892578125,2178.5785519579813,1000
True,0.9,100,120,0.9118,0.4748401641845703,2105.971809940029,1000
True,0.9,700,120,0.9143,0.494086742401123,2023.9361111781311,1000
True,0.9,100,140,0.9145,0.5183141231536865,1929.3319539809024,1000
True,0.9,80,200,0.9158,0.5540475845336914,1804.899124037586,1000
True,0.9,100,160,0.919,0.5546958446502686,1802.789780461565,1000
True,0.9,300,140,0.9199,0.585275411605835,1708.5973204585423,1000
True,0.9,100,200,0.9235,0.6237449645996094,1603.219355272734,1000
True,0.9,100,220,0.9257,0.6547830104827881,1527.2234984574122,1000
True,0.9,300,160,0.9289,0.681300163269043,1467.781829380105,1000
True,0.9,100,260,0.9297,0.7186651229858398,1391.4686660252794,1000
True,0.9,100,280,0.93,0.7462773323059082,1339.9844222926065,1000
True,0.9,1600,180,0.9346,0.7765054702758789,1287.82093401701,1000
True,0.9,300,200,0.9394,0.8746974468231201,1143.2524510411863,1000
True,0.9,200,220,0.9408,0.9748773574829102,1025.7700543809483,1000
True,0.9,500,220,0.942,0.9786510467529296,1021.8146736959044,1000
True,0.9,200,240,0.9435,1.0292017459869385,971.6268009641434,1000
True,0.9,200,260,0.944,1.070397138595581,934.232691720434,1000
True,0.9,400,240,0.945,1.0857856273651123,920.9921137257184,1000
True,0.9,200,280,0.9466,1.1111886501312256,899.9371977763678,1000
True,0.9,200,320,0.9474,1.1927847862243652,838.3742076099032,1000
True,0.9,200,340,0.9496,1.2326793670654297,811.2409655891651,1000
True,0.9,200,360,0.9501,1.2783288955688477,782.271294552101,1000
True,0.9,200,380,0.9517,1.3163836002349854,759.656987386877,1000
True,0.9,500,300,0.9528,1.432692289352417,697.9865861161326,1000
True,0.9,300,320,0.956,1.5181655883789062,658.6896763137661,1000
True,0.9,400,320,0.9564,1.5573949813842771,642.0978698102382,1000
True,0.9,300,340,0.9567,1.5910258293151855,628.5253083731665,1000
True,0.9,400,340,0.9573,1.6770775318145752,596.2753546152476,1000
True,0.9,200,600,0.9582,1.6827597618103027,594.2618920981365,1000
True,0.9,300,380,0.9591,1.7002809047698977,588.1381112936348,1000
True,0.9,500,360,0.9596,1.798816204071045,555.9211651178258,1000
True,0.9,200,700,0.9606,1.8122427463531492,551.8024569348345,1000
True,0.9,500,380,0.9626,1.9227545261383057,520.0871907494181,1000
True,0.9,300,500,0.9631,1.9584434032440183,510.60959859425753,1000
True,0.9,200,900,0.965,2.1023387908935547,475.6607281050887,1000
True,0.9,300,600,0.9661,2.1444649696350098,466.3167802504142,1000
True,0.9,300,700,0.9672,2.3218913078308105,430.6833815292732,1000
True,0.9,300,800,0.9685,2.4929728507995605,401.1275131533319,1000
True,0.9,400,600,0.9692,2.638510704040528,379.0016839683968,1000
True,0.9,500,500,0.9695,2.724071502685547,367.0975593020016,1000
True,0.8,40,100,0.9744,2.757697105407715,362.62140538895545,1000
True,0.8,40,120,0.9759,2.814924478530884,355.2493175667372,1000
True,0.8,40,140,0.9761,2.8390581607818604,352.22948716366056,1000
True,0.8,40,160,0.9766,2.8801138401031494,347.2084978294419,1000
True,0.8,40,200,0.9773,2.989426851272583,334.5122827053973,1000
True,0.8,40,240,0.978,3.066438674926758,326.11120130223543,1000
True,0.8,40,360,0.9785,3.305438280105591,302.53174171143667,1000
True,0.8,40,600,0.9787,3.70175838470459,270.1418882798864,1000
True,0.8,40,700,0.9788,3.8862128257751465,257.3199268366213,1000
True,0.8,40,900,0.9792,4.142392635345459,241.40637743206204,1000
True,0.8,40,1000,0.9793,4.283743858337402,233.4406615030708,1000
True,0.8,40,1200,0.9794,4.622091293334961,216.35228223250292,1000
True,0.8,40,1400,0.9796,4.926446437835693,202.986069699222,1000
True,0.8,40,1600,0.9797,5.174190282821655,193.26695489340744,1000
True,0.8,40,1800,0.9798,5.502003192901611,181.75198467535355,1000
True,0.9,300,3000,0.9799,5.521754741668701,181.1018501878979,1000
True,0.9,400,2500,0.9801,5.5659685134887695,179.66325134189384,1000
True,0.9,500,2000,0.9804,5.604893207550049,178.4155313883508,1000
True,0.8,80,100,0.9837,5.848370552062988,170.98779755794615,1000
True,0.8,80,260,0.9839,6.303319931030273,158.64655625000947,1000
True,0.8,80,360,0.984,6.524629592895508,153.2654054551806,1000
True,0.8,80,600,0.9843,7.05406665802002,141.76219881096026,1000
True,0.8,100,220,0.9847,7.952110767364502,125.75277549000002,1000
True,0.8,100,300,0.985,8.101455211639404,123.4346143842522,1000
True,0.8,100,320,0.9854,8.136023998260498,122.91015860004867,1000
True,0.8,100,500,0.9858,8.385576963424683,119.25237874050808,1000
True,0.8,100,5000,0.9859,14.662773609161375,68.19992087821603,1000
True,0.8,1600,220,0.9866,15.860337734222412,63.05035975635403,1000
True,0.8,400,240,0.9867,17.162577867507935,58.2663051972625,1000
